Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 112.0.0.0,,,2023-04-22 15:39:42,2023-04-22 15:40:50,1m - 7.927s,PASSED
,,,,,,,
Test Cases/Step Definition/Register/REG001 - User want to create MobiPaid Account,Chrome 112.0.0.0,,,2023-04-22 15:39:42,2023-04-22 15:40:12,29.654s,PASSED
"openBrowser(""https://stage.mobipaid.com/en/register"")",Chrome 112.0.0.0,,,2023-04-22 15:39:43,2023-04-22 15:39:51,8.502s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-22 15:39:51,2023-04-22 15:39:52,0.516s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input First Name""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:39:52,2023-04-22 15:39:54,1.913s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input Last Name""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:39:54,2023-04-22 15:39:56,2.053s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input Email""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:39:56,2023-04-22 15:39:58,2.131s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input Password""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:39:58,2023-04-22 15:39:59,1.424s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input Company Name""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:39:59,2023-04-22 15:40:01,1.939s,PASSED
"callTestCase(findTestCase(""Pages/Register/Input Phone Number""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:40:01,2023-04-22 15:40:03,1.972s,PASSED
"callTestCase(findTestCase(""Pages/Register/Choose Country""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:40:03,2023-04-22 15:40:06,2.470s,PASSED
"callTestCase(findTestCase(""Pages/Register/Click Agreement Box""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-22 15:40:06,2023-04-22 15:40:07,1.407s,PASSED
